frame,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
46,416.5,647.56,0.97,423.71,637.49,0.86,404.99,637.37,0.97,0.0,0.0,0.45,380.58,640.58,0.9,431.3,694.84,0.98,349.24,694.64,1.0,431.48,758.41,0.89,342.17,766.33,0.99,444.26,747.56,0.86,398.15,749.91,0.98,400.14,829.57,0.99,338.88,829.1,1.0,421.49,931.03,0.97,319.15,924.88,0.99,406.43,1028.43,0.94,278.93,1021.08,0.96
47,430.72,659.3,0.98,436.8,650.58,0.86,420.45,648.93,0.98,0.0,0.0,0.28,393.02,649.4,0.96,431.09,706.23,0.99,355.98,697.05,1.0,430.11,777.53,0.9,332.77,768.07,1.0,431.94,815.89,0.88,388.78,812.25,0.99,401.68,841.03,0.99,345.84,838.37,1.0,422.07,937.4,0.97,329.93,935.81,0.99,403.8,1021.88,0.91,288.97,1023.51,0.96
48,438.49,671.52,0.97,446.05,663.18,0.87,429.12,660.13,0.98,0.0,0.0,0.32,401.98,657.63,0.94,440.82,715.53,0.98,363.99,703.96,1.0,434.3,792.53,0.86,333.72,783.03,0.99,436.79,843.9,0.85,353.67,861.08,0.98,403.66,838.38,0.99,350.2,834.48,1.0,417.51,942.12,0.96,349.86,939.42,0.98,406.25,1049.54,0.89,327.89,1049.19,0.95
49,450.41,681.08,0.98,454.86,673.06,0.87,440.84,670.25,0.98,0.0,0.0,0.32,408.55,669.23,0.95,442.52,729.06,0.99,367.54,719.32,1.0,440.73,800.44,0.92,325.42,795.59,0.99,444.56,851.9,0.9,309.81,877.33,0.98,403.86,861.16,0.99,356.02,858.57,1.0,410.18,972.37,0.97,378.61,972.61,0.99,384.73,1073.01,0.9,361.0,1077.37,0.94
50,454.6,686.29,0.97,460.79,678.25,0.83,443.88,676.67,0.97,0.0,0.0,0.42,414.03,679.01,0.93,450.1,740.48,0.98,379.81,728.45,1.0,450.76,799.43,0.88,317.22,777.0,0.99,459.2,839.21,0.84,281.4,838.29,0.98,401.62,874.9,0.99,361.41,869.54,1.0,405.34,993.22,0.97,389.17,985.48,0.99,358.87,1084.44,0.91,362.34,1079.76,0.95
51,452.26,691.91,0.97,458.56,685.27,0.83,441.69,681.97,0.96,0.0,0.0,0.44,414.39,683.98,0.92,454.35,754.06,0.98,382.31,724.52,1.0,461.35,813.81,0.89,312.94,756.43,0.99,471.05,798.88,0.86,277.7,796.56,0.98,396.05,882.74,0.99,356.53,868.92,1.0,390.69,995.67,0.98,386.8,979.43,0.99,338.1,1080.07,0.92,351.34,1071.39,0.96
52,444.81,688.3,0.97,451.39,681.82,0.85,433.39,678.72,0.96,0.0,0.0,0.49,408.38,682.13,0.9,457.93,750.58,0.99,379.07,722.02,1.0,472.9,797.8,0.91,302.13,744.4,0.99,486.47,774.47,0.88,264.21,786.55,0.97,401.85,875.84,0.99,359.58,862.13,1.0,393.45,977.19,0.98,391.49,960.51,0.99,333.21,1059.51,0.94,352.91,1049.67,0.96
53,443.78,687.37,0.96,449.33,680.9,0.84,432.6,678.08,0.95,0.0,0.0,0.49,407.7,680.29,0.89,455.7,743.34,0.99,380.56,717.13,1.0,468.64,793.02,0.92,310.56,744.1,0.99,483.15,773.73,0.88,275.14,781.19,0.97,406.68,865.0,0.99,367.06,851.9,1.0,397.21,961.33,0.98,401.86,940.38,0.99,339.83,1045.54,0.94,371.4,1025.57,0.96
54,437.55,686.74,0.97,445.79,679.43,0.87,425.99,677.88,0.96,453.8,683.03,0.54,402.64,679.63,0.91,455.56,740.78,0.98,378.92,722.36,1.0,465.84,794.13,0.9,314.96,759.96,0.99,462.47,789.55,0.86,288.06,813.64,0.97,412.88,861.26,0.99,373.08,853.55,1.0,393.93,952.92,0.98,406.58,948.28,0.99,339.11,1033.09,0.95,393.29,1039.14,0.97
55,445.75,690.41,0.97,450.42,682.0,0.9,434.12,680.99,0.97,0.0,0.0,0.48,407.15,684.03,0.91,455.34,739.5,0.99,384.69,732.78,1.0,467.67,802.13,0.94,343.65,793.32,0.99,471.12,846.65,0.92,315.2,857.14,0.98,425.83,865.03,1.0,385.28,861.92,1.0,415.88,958.87,0.98,409.07,957.02,0.99,372.89,1040.76,0.93,390.18,1041.28,0.95
